Title,Date,Summary
Putin Sahkan UU untuk Legalkan Mining Kripto di Rusia,"Jumat, 09 Agustus 2024","Presiden Rusia, Vladimir Putin, dilaporkan telah menyetujui undang-undang yang memungkinkan operasiminingkripto dan Bitcoin di negaranya.Dikutip dari media lokalTasspada Kamis (8/8/2024), undang-undang baru ini memperkenalkan beberapa konsep baru, termasukminingaset digital,mining pool, operator infrastrukturmining, pengenal alamat, dan individu yang mengelola kegiatanmining pool."
OJK Rilis Roadmap  Pengembangan  Sektor Keuangan Digital dan Kripto,"Jumat, 09 Agustus 2024","Otoritas Jasa Keuangan (OJK) telah merilisRoadmapPengembangan dan Penguatan Inovasi Teknologi Sektor Keuangan, Aset Keuangan Digital, dan Aset Kripto (IAKD) untuk periode 2024-2028.Roadmaptersebut melanjutkan Digital Finance Innovation Roadmap and Action Plan 2020-2024, yang telah menjadi dasar bagi perkembangan sektor IAKD.Hasan Fawzi, Kepala Eksekutif Pengawas Inovasi Teknologi Sektor Keuangan, Aset Keuangan Digital, dan Aset Kripto OJK, menjelaskan bahwaroadmapini bertujuan untuk memperkuat ekosistem keuangan digital, melindungi konsumen, dan mendukung pertumbuhan ekonomi nasional.Foto: Hasan Fawzi saat memberikan sambutanb di acara peluncuranroadmapOJK."
"Harga Bitcoin Rebound ke US$62.000, Pulih dari Crypto Black Monday","Jumat, 09 Agustus 2024","Harga Bitcoin (BTC) telah kembali mencapai level US$62.000 setelah mengalami penjualan besar-besaran pada awal pekan ini.Baca juga:Harga Bitcoin Ambles ke US$54 Ribu, Ini Penyebabnya!Pada Jumat (9/8/2024) pagi, harga BTC mengalami lonjakan yang membawa nilainya mencapai puncak di US$62.500, sebelum mengalami sedikit koreksi."
Harga TON Melejit dalam 24 Jam! Ini Penyebabnya,"Kamis, 08 Agustus 2024","Binance akan memulai perdagangan Toncoin dengan empat pasangan perdagangan baru: TON/BTC, TON/USDT, TON/FDUSD, dan TON/TRY pada Kamis (8/8/24) pukul 17.00 WIB."
"Jumlah Investor Kripto di Indonesia Lampaui Investor Pasar Modal, Ini Tanggapan OJK!","Kamis, 08 Agustus 2024","Otoritas Jasa Keuangan (OJK) baru-baru ini mengungkapkan bahwa jumlah investor kripto di Indonesia mengalami lonjakan signifikan, mencapai 20,24 juta per Juni 2024.Jumlah tersebut melampaui investor pasar modal, yang berkisar 13 juta investor."
"11 Tahun Tertidur, Wallet Ini Pindahkan Bitcoin Bernilai Rp222 Miliar","Kamis, 08 Agustus 2024","SebuahwalletBitcoin yang tidak aktif sejak tahun 2013 baru-baru ini kembali menunjukkan aktivitas dengan memindahkan Bitcoin ke alamat baru.Baca juga:11 Tahun Lupa Password, Pria Ini Kembali Dapatkan Akses Wallet Bitcoin Senilai Rp50 MiliarMenurut data Lookonchain pada Rabu (7/8/2024), sebuahwalletyang diidentifikasi milikminerBitcoin mulai mentransfer 250 BTC senilai US$13,95 juta atau setara Rp222 miliar ke lima alamatwalletbaru."
Marketplace NFT Immutable X Segera Ditutup!,"Kamis, 08 Agustus 2024","Immutable, salah satu pelopor dalam ruang NFT dan game blockchain, mengumumkan penutupanmarketplaceNFT-nya, Immutable X (IMX).Marketplaceini akan resmi ditutup pada 13 Agustus 2024, dan semua aktivitas akan dialihkan ke platform lain mulai 27 September 2024."
"Metaplanet Raih Pinjaman Rp109,2 Miliar untuk Investasi Bitcoin","Kamis, 08 Agustus 2024","Metaplanet, sebuah perusahaan investasi yang berbasis di Jepang, telah berhasil mengamankan pinjaman sebesar JPY1 miliar atau setara dengan Rp109,2 miliar dari salah satu pemegang sahamnya untuk membeli lebih banyak Bitcoin.Dalam pengumuman yang dirilis pada Kamis (8/8/2024), Metaplanet menyatakan bahwa pinjaman tersebut berasal dari MMXX Ventures dengan suku bunga sekitar 0,1% per tahun dan jangka waktu selama enam bulan yang dimulai sejak tanggal tersebut.*Metaplanet secures ¥1 billion 0.1% APR loan; proceeds to fund additional purchases of$BTC*pic.twitter.com/seN6YdrnLO— Metaplanet Inc."
Brasil Setujui ETF Spot Solana Pertama di Dunia,"Kamis, 08 Agustus 2024","Komisi Sekuritas dan Bursa Brasil (CVM) telah resmi menyetujui peluncuranexchange-traded fund (ETF)spot Solana pertama di dunia.Dikelola oleh QR Asset dan Vortx, produk keuangan inovatif ini diharapkan akan diluncurkan dalam waktu 90 hari ke depan, setelah mendapatkan persetujuan lebih lanjut dari bursa saham utama Brasil, B3.Persetujuan ETF spot Solana di Brasil."
Arthur Hayes Jelaskan Pengaruh Yen terhadap Harga Bitcoin,"Kamis, 08 Agustus 2024","Arthur Hayes, Co-Founder dan mantan CEO BitMEX, mengungkapkan bahwa penurunan Bitcoin baru-baru ini berkaitan erat dengan melemahnya yen Jepang terhadap dolar Amerika Serikat.Dalam sebuahpostingan blogpada Rabu (7/8/2024), Hayes menjelaskan bahwa pergerakan Bitcoin sangat dipengaruhi oleh dinamika nilai tukar dolar-yen.Menurutnya, terdapat dua jenis korelasi yang berbeda antara Bitcoin dan pergerakan yen terhadap dolar, yaitu sebagai berikut.Correlated-Bitcoin:Ini adalah situasi di mana harga Bitcoin naik ketika yen melemah, dolar lebih kuat dan turun ketika yen menguat, dolar lebih lemah."
IMF Jajaki Risiko Terkait Bitcoin dengan El Salvador,"Kamis, 08 Agustus 2024","Dana Moneter Internasional (IMF) di El Salvador telah merilis pernyataan yang difokuskan pada dukungan pertumbuhan jangka menengah negara tersebut, termasuk kebijakan untuk mengurangi risiko yang terkait dengan Bitcoin.Pada hari Selasa (6/8), IMF menyatakan bahwa mereka telah membuat rencana untuk memperkuat cadangan keuangan El Salvador secara bertahap dan mengurangi ketergantungan pada pembiayaan domestik dengan dukungan potensial.IMF juga telah membahas kebijakan dengan pemerintah El Salvador untuk menstabilkan utang publik, termasuk pengelolaan Bitcoin sebagai alat pembayaran sah di negara tersebut."
"Ripple Resmi Didenda Rp1,9 Triliun dalam Kasus SEC, XRP Terbang 26%","Kamis, 08 Agustus 2024","Seorang hakim federal di New York telah memutuskan bahwa Ripple harus membayar denda sebesar US$125 juta atau sekitar Rp1,9 triliun dalam kasus yang melibatkan Komisi Sekuritas dan Bursa AS (SEC)."
"Cumberland Terpantau Suntik Dana Rp1,5 Triliun ke Exchange Kripto","Rabu, 07 Agustus 2024","Pasar mata uang kripto global mengalami kenaikan yang signifikan, dengan kapitalisasi pasar meningkat hampir dua persen menjadi US$2,01 triliun dalam 24 jam terakhir.Meskipun volume perdagangan total turun signifikan sebesar 39,85% menjadi US$99,79 miliar, hal ini justru memicu gelombang investasi besar, terutama melalui stablecoin Tether (USDT).Baca juga:Harga Bitcoin Rebound ke US$56.000, Analis Percaya Aksi Jual Mulai BerakhirCumberland, salah satu pemain utama di industri kripto, dilaporkan olehLookonchaintelah menerima 95 juta USDT atau setara Rp1,5 triliun dari Tether Treasury."
Volatilitas Bitcoin Naik ke Level Tertinggi Sejak Keruntuhan FTX,"Rabu, 07 Agustus 2024","Menurut analisis dari K33 Research, volatilitasintradayBitcoin melonjak pada Senin (5/8/2024), mencapai level tertinggi sejak keruntuhanexchangekripto FTX pada November 2022."
Hacker di Olimpiade Paris 2024 Minta Tebusan Kripto,"Rabu, 07 Agustus 2024","Para pengunjung Olimpiade Paris 2024 dan puluhan toko museum di Prancis tampaknya kini menjadi target para pelaku peretasan yang meminta tebusan dalam bentuk kripto.Menurut laporan media lokalLeParisienpada 5 Agustus, para penjahat siber ini telah melancarkan serangan dengan mengeksploitasi sekitar 40 sistem pemrosesan data di berbagai tempat wisata Prancis pada akhir pekan lalu.Aksi ini memungkinkan mereka untuk mengakses data keuangan sensitif dari situs-situs tersebut."
BlackRock dan Nasdaq Ajukan Trading Opsi untuk ETF Ether Spot,"Rabu, 07 Agustus 2024","Manajer aset BlackRock dan bursa saham Nasdaq telah mengajukan perubahan aturan kepada Komisi Sekuritas dan Bursa AS (SEC) untuk memperkenalkan perdagangan opsi bagi produk Exchange-Traded Fund (ETF) Ethereum spot, yakni iShares Ethereum Trust (ETHA).Menurut sebuahpengajuanpada 6 Agustus, Nasdaq menjelaskan bahwa langkah ini bertujuan untuk memperluas jenis alat investasi untuk Ether dan membuat investasi kripto lebih mudah diakses dalam pasar keuangan tradisional.Meskipun saham ini tidak setara dengan investasi langsung di Ether, mereka memungkinkan investor untuk mendapatkan eksposur terhadap aset kripto terbesar kedua tersebut."
Trump Peringatkan  Biden untuk Tidak Jual Bitcoin Milik AS,"Rabu, 07 Agustus 2024","Dalam wawancara terbaru denganstreamerdaninfluencerAdin Ross, mantan presiden Amerika Serikat, Donald Trump memperingatkan pemerintahan Biden untuk tidak menjual kepemilikan Bitcoin Amerika Serikat.Trump menekankan pentingnya inovasi dalam sektor aset digital, mengingatkan bahwa AS berisiko tertinggal dari pesaing geopolitiknya seperti China jika tidak aktif terlibat dalam kemajuan kripto.“Mata uang ini sangat modern, bentuknya juga sangat modern, dan saya kenal banyak orang baik yang benar-benar tertarik dengan dunia dan pasar ini, mereka cerdas, mereka orang baik, dan mereka pikir ini akan sangat menguntungkan,” kata Trump dilansir dariCointelegraph.Komentar Trump muncul ketika baik dia maupun Senator Republik Wyoming Cynthia Lummis telah mengusulkan rencana bagi pemerintah AS untuk memegang Bitcoin sebagai cadangan strategis.Lummis percaya bahwa stabilitas jangka panjang dan sifat desentralisasi Bitcoin membuatnya menjadi tambahan berharga bagi cadangan nasional, memberikan keamanan finansial di tengah volatilitas pasar.Lummis pun telah memperkenalkan rancangan undang-undang yang mengarahkan Departemen Keuangan AS untuk mengakuisisi satu juta Bitcoin selama lima tahun dan menahannya setidaknya selama 20 tahun kecuali diperlukan untuk mengurangi utang nasional.Baca juga:Kampanye Trump Kumpulkan Donasi Kripto Hingga Rp53,2 MiliarKritik Bitcoin Sebagai Cadangan StrategisDi sisi lain, kritik tentang Bitcoin sebagai cadangan strategis pun tetap ada."
Diego Oliva Resign dari Jabatan CEO Starknet Foundation,"Rabu, 07 Agustus 2024","Starknet Foundation mengumumkan pengunduran diri CEO pertamanya, Diego Oliva, yang telah menempati posisi tersebut sejak Maret 2023.Dalampostingan blog-nya pada 6 Agustus, SNF menyatakan bahwa James Strudwick, yang telah bergabung dengan SNF sejak Januari 2024, akan mengambil peran sebagai Executive Director untuk melanjutkan pengembangan ekosistem Starknet dan adopsinya.Baca juga:Apa Itu Starknet?"
"Harga Bitcoin Rebound ke US$56.000, Analis Percaya Aksi Jual Mulai Berakhir","Rabu, 07 Agustus 2024","Setelah mengalami penurunan signifikan di bawah US$50.000 akibat aksi jual besar-besaran pada 5 Agustus, Bitcoin menunjukkan tanda-tanda pemulihan denganrebounddi atas level US$56.000."
5 Altcoin Potensi Cuan di Agustus 2024,"Rabu, 07 Agustus 2024","Pasar kripto menunjukan sinyal dinamis pada bulan Juli, kemudian di  Agustus pada 5 Agustus 2024 pasar kripto mengalamiblack mondaydengan BTC yang ambruk ke level US$50.000 dan membuat ratusan altcoin terpuruk.Kendati demikian pasar kripto telah menunjukan perbaikan dengan harga BTC yang pulih ke level US$57.000 diikuti dengan altcoin lainnya.Di Agustus ini pasar kripto masih akan dinamis, namun ada beberapa altcoin yang diprediksi bisa memperoleh keuntungan dalam jangka pendek atau panjang.Artikel ini akan membahas daftar altcoin tersebut."
Lebih dari 25 Altcoin Terpuruk Gara-gara Black Monday,"Selasa, 06 Agustus 2024",Pasar kripto yang mengalami penurunan besar pada5 Agustus 2024telah menghapus keuntungan banyak aset kripto sepanjang tahun ini.
Platform DeFi Ini Cuan Besar di  Tengah Anjloknya Pasar Kripto,"Selasa, 06 Agustus 2024","Aave, protokol keuangan terdesentralisasi (DeFi) berbasis di jaringan Ethereum, melaporkan bahwa platformnya telah menghasilkan keuntungan sebesar US$6 juta atau sekitar Rp97 miliar dalam satu hari selama penurunan pasar kripto yang signifikan pada 5 Agustus.Dalam sebuah postingan di X, CEO Aave, Stani Kulechov, mengungkapkan bahwa protokolnya mampu bertahan dari tekanan pasar di 14 pasar aktif pada berbagailayer-1danlayer-2, dengan nilai yang diamankan sekitar US$21 miliar.Aave Protocol withstood market stress across 14 active markets on various L1s and L2s, securing $21B worth of value.Aave Treasury was rewarded with $6M in revenue overnight from decentralized liquidations for keeping the markets safe.This is why building DeFi is FTW.— Stani (@StaniKulechov)August 5, 2024“Aave Treasury menerima pendapatan sebesar US$6 juta dalam semalam dari likuidasi DeFi karena menjaga pasar tetap aman."
FBI Ungkap Penipuan Kripto yang Mengancam Investor!,"Selasa, 06 Agustus 2024","Biro Investigasi Federal Amerika Serikat (FBI), badan investigasi utama di bawah Departemen Kehakiman AS, telah mengeluarkan peringatan terkait modus penipuan yang melibatkan individu yang berpura-pura menjadi karyawanexchangekripto untuk mencuri dana pengguna.Baca juga:FBI Berupaya Sita Kripto Senilai Rp40,5 Miliar dari Penipu di  ThailandModus Penipuan Melalui TeleponDalam sebuah surat peringatan yang diterbitkan pada 1 Agustus, FBI mengatakan bahwa penipu melancarkan aksinya dengan menghubungi target mereka melalui telepon atau pesan singkat."
TOKEN2049  akan Hadirkan DJ Ternama untuk Meriahkan Acara Penutupan,"Selasa, 06 Agustus 2024","TOKEN2049, konferensi Web3 dan kripto terbesar di dunia, mengumumkan jajaran DJ yang akan tampil di AFTER 2049, acara penutupan dari edisi Singapura tahun ini.Trio pemenang penghargaan WhoMadeWho akan tampil untuk pertama kalinya di Singapura, bersama DJ dan produser asal Afrika Selatan, Da Capo, serta Leon, Milam, dan Mo-Shi dari Hong Kong."
Stablecoin Tahan Uji Stres di Tengah Gejolak Pasar Kripto,"Selasa, 06 Agustus 2024","Di tengah volatilitas yang melanda pasar kripto saat ini, stablecoin berhasil menunjukkan ketahanannya."
Analis Prediksi Harga Terendah Bitcoin Dapat Sentuh US$45.000,"Selasa, 06 Agustus 2024","Pasar kripto mengalami penurunan besar-besaran pada 5 Agustus,  dengan Bitcoin jatuh ke level US$49.000.Di saat yang sama, mayoritas altcoin menunjukkan tren penurunan serupa."
"Total Volume Trading ETF Kripto Capai Rp103,5 Triliun di Tengah Gejolak Pasar","Selasa, 06 Agustus 2024","Produk Exchange-Traded Fund (ETF) Bitcoin dan Ethereum mencatat volume perdagangan kumulatif sebesar US$6,4 miliar setara Rp103,5 triliun pada 5 Agustus di tengah penurunan pasar kripto.Berdasarkan data dariCoinGlass, ETF Bitcoin mencatat volume perdagangan harian sebesar US$5,70 miliar pada hari tersebut, dengan lebih dari 51% atau sekitar US$2,94 miliar berasal dari produk BlackRock iShares Bitcoin Trust (IBIT), diikuti oleh ETF Bitcoin spot milik Fidelity dan Grayscale.Sementara itu, ETF Ethereum spotmencatatvolume perdagangan sebesar US$715,56 juta pada periode yang sama, dengan sebagian besar volume berasal dari Grayscale Ethereum Trust (ETHE) dan BlackRock iShares Ethereum Trust ETF (ETHA).Peningkatan volume pada ETF kripto ini terjadi di tengah penurunan harga kripto secara keseluruhan."
Galaxy Research: Mayoritas Rollup Layer-2 Bitcoin Tak Akan Bertahan Lama,"Senin, 05 Agustus 2024","Sebuah laporan terbaru dari Galaxy Research telah mengidentifikasi tantangan terkait keberlanjutan solusiscalingdarilayer-2 Bitcoin, khususnyarollups.Meskirollupsdianggap sebagai metode yang menjanjikan untuk menjaga efisiensi transaksi Bitcoin, mereka berpendapat bahwa sebagian besarrollupmungkin tidak dapat bertahan dalam jangka panjang.Baca juga:BitcoinOS Hadirkan Solusi Rollups ke Jaringan BitcoinMasalah Biaya untuk Memposting DataDalam sebuahlaporanyang diterbitkan pada 2 Agustus 2024, analis Galaxy Research, Gabe Parker, menjelaskan bahwarollupsBitcoin yang mengandalkanData Availability(DA) atau ketersediaan data di jaringan Bitcoin mungkin akan menghadapi masalah karena tingginya biaya untuk memposting data.“Rollups di Bitcoin harus menghasilkan pendapatan yang substansial dari biaya transaksi di jaringan mereka sendiri, didorong oleh jumlah pengguna yang besar yang bersedia membayar untuk bertransaksi dilayer-2,” kata Parker.Rollupsberoperasi dengan mengumpulkan sejumlah besar transaksi, mengompresnya menjadi satubatch, dan kemudian mengunggah ringkasanbatchtersebut kembali kemainnet.Di satu sisi,rollupsBitcoin menggunakan jaringan utama sebagaiDA layer, yang berarti mereka akan memposting cukup data ke blockchain agar siapa saja yang menjalankan node Bitcoin biasa dapat merekonstruksinya dari jaringanrollupskapan saja.Namun, kapasitas penyimpanan blok Bitcoin dibatasi hingga emparmegabyte(MB), dan memposting data ke Bitcoin memerlukan penggunaan data yang signifikan."
"Investor Institusi Kompak Jual Ether, Harga ETH Anjlok ke US$2.100","Senin, 05 Agustus 2024","Pasar kripto pada Senin (5/8/24) tengah mengalami aksi jual besar-besaran dengan Ether (ETH) menjadi salah satu aset yang paling menderita, di mana harganya secara dramatis jatuh ke level US$2.100.Baca juga:Harga Bitcoin Ambles ke US$54 Ribu, Ini Penyebabnya!Pada Senin (5/8/2024) pagi, harga Ether mengalami penurunan tajam lebih dari 23%, dari US$2.703 ke titik terendah di US$2.171."
"Meriahkan Olimpiade Paris 2024, Plume Rilis Testnet Cultured","Senin, 05 Agustus 2024",Olimpiade Paris 2024 adalah kompetisi olahraga terbesar di seluruh dunia.
Capres AS Kamala Harris Mulai Dekati  Komunitas Kripto,"Senin, 05 Agustus 2024","Wakil Presiden AS Kamala Harris, yang saat ini menjadi kandidat presiden dari Partai Demokrat, tengah berupaya keras untuk memperkuat hubungannya dengan industri kripto.Langkah strategis ini dilakukan di tengah latar belakang sikap regulasi ketat pemerintahan Biden terhadap aset digital, yang telah membuat hubungan Partai Demokrat dengan komunitas kripto menjadi tegang.DilaporkanNews.Bitcoin(5/8/24) perwakilan AS Ro Khanna (D-CA) menyelenggarakan pertemuan penting yang bertujuan untuk memperbaiki hubungan Harris dengan sektor kripto.Baca juga:Joe Biden Mundur dari Pilpres AS 2024, Harga Meme Coin BODEN Jatuh 60%Pertemuan tersebut dihadiri oleh tokoh-tokoh terkemuka seperti Lael Brainard dari Dewan Ekonomi Nasional dan Anita Dunn, mantan asisten senior Presiden Biden, menggarisbawahi upaya bersama untuk membentuk kembali citra Harris di kalangan penggemar kripto.Inisiatif ini muncul saat Partai Demokrat menghadapi kritik atas penanganannya terhadap regulasi kripto, dengan tokoh-tokoh terkemuka seperti Tyler Winklevoss dari Gemini yang menyatakan skeptisisme tentang ketulusan partai dalam terlibat dengan industri tersebut.Baca juga:Kamala Harris Mulai Lirik Kripto?"
"Pasar Kripto Ambruk, Market Cap Turun Hampir US$500 Miliar dalam Tiga Hari!","Senin, 05 Agustus 2024",Pasar kripto mengalami penurunan drastis dengan kapitalisasi pasar anjlok sebesar US$490 miliar.
"Hamster Kombat Perbarui Whitepaper, Bakal Distribusikan 60% Token ke Pemain","Senin, 05 Agustus 2024","Hamster Kombat, sebuahgame tap-to-earnberbasis di Telegram, telah mengumumkan perilisan whitepaper danroadmapbarunya, sebuah langkah yang memberikan kejeasan bagi para pemainnya.Baca juga:3 Alasan yang Buat Hamster Kombat Populer dan Raih 150 Juta PemainMenurutwhitepaperterbaru, Hamster Kombat berencana meluncurkan token HMSTR."
Analis Sebut Harga Bitcoin Masih Bisa  Turun ke US$50.000,"Senin, 05 Agustus 2024","Harga Bitcoin (BTC) kembali mengalami penurunan signifikan di tengah kondisi ekonomi makro yang bergejolak, di mana nilainya kini berada di level US$54.000, mengikuti tren serupa yang terlihat pada awal Juli 2024.Sejak 2 Agustus, performa Bitcoin mulai merosot tajam dari US$65.700 hingga mencapai titik terendah di US$53.875."
"Harga Bitcoin Ambles ke US$54 Ribu, Ini Penyebabnya!","Senin, 05 Agustus 2024","Pada tanggal 5 Agustus, pasar kripto mengalami penurunan yang signifikan, dengan Bitcoin (BTC) turun 10% dari US$58.350 menjadi US$52.500 dalam waktu kurang dari dua jam.Saat artikel ini dibuat, harga BTC telah menanjak kembali ke level US$54.000."
Token FTR dari Platform NFT Fautor Listing di Gate.io,"Minggu, 04 Agustus 2024","Fautor Foundation mengumumkan bahwa token utilitasnya, FTR, telah berhasil terdaftarexchangekripto, Gate.io, pada tanggal 29 Juli.Tersedianya FTR diexchangetersebut merupakan tonggak penting dalam upayaFautoruntuk memperluas ekosistemWeb3dan mendukung pertumbuhan ekonomi kreator di platform Fantrie.Mengenal Platform FantrieFantrie adalah platform inovatif yang menghubungkan penggemar dan kreator secara langsung, telah merevolusi cara kreator menghasilkan pendapatan dan membangun komunitas yang kuat.Fantrie sudah dikenal luas dan merupakan platform terbesar yang menyediakan ruang komunikasi antara penggemar dan kreator.Banyak tokoh terkemuka yang telah bergabung dengan Fantrie seperti Tangledahee (360 ribu pengikut di AfreecaTV), DJ MIU (330 ribu pengikut di Instagram), dan Ssodaejang (550 ribu pelanggan di YouTube).Ada juga beberapa Idola Top K-POP seperti Kim Kyu-Jong dari SS501, Sungho dari Choshinsung, dan Minwoo dari Boyfriend yang berinteraksi langsung dengan penggemar dan menyediakan konten eksklusif.Fantrie mendukung 8 bahasa termasuk Inggris, Jepang, Mandarin, Vietnam, Spanyol, Turki, Arab, dan Korea untuk meningkatkan kreator global dalam membuat konten mereka sendiri.Baca juga:Webtoon Populer Solo Leveling Miliki Platform NFTManfaatkan NFT untuk Dukung KreatorMemanfaatkanteknologi blockchainyang canggih, seperti Avalanche, Ethereum, dan BNB Chain, Fantrie memungkinkan kreator untuk menerbitkan dan menjual konten eksklusif sebagai NFT (Non-Fungible Token).MelaluiNFTkreator dapat memperoleh pendapatan yang lebih tinggi dan membangun hubungan yang lebih mendalam dengan penggemar mereka."
Bybit dan Ethena Rilis Peningkatan Imbal Hasil Agunan USDe,"Minggu, 04 Agustus 2024","Bybit, bursa kripto terbesar kedua di dunia berdasarkan volume perdagangan, mengumumkan integrasi dengan USDe, sebuah agunan margin stabil yang menawarkan imbalan inovatif, ke dalam platformnya.Langkah ini menandai pencapaian penting dalam memberikan kekuatan kepada pedagang untuk mengelola agunan mereka dengan lebih efisien sekaligus mendapatkan imbalan dan hasil.Baca juga:Mengenal Ethena (ENA) dan Stablecoin USDeKolaborasi strategis antara Bybit dan Ethena bertujuan untuk merombak lanskap stablecoin dalam industri kripto."
PINTU Jadi Exchange Kripto  Pertama Berlisensi Penuh di Indonesia,"Jumat, 02 Agustus 2024","PT Pintu Kemana Saja (PINTU), aplikasi kriptoall in oneresmi menjadi perusahaan kripto pertama di Indonesia yang memperoleh lisensi penuh sebagai Pedagang Fisik Aset Kripto (PFAK).Keputusan tersebut diumumkan melalui surat dari Kepala Badan Pengawas Perdagangan Berjangka Komoditi (BAPPEBTI) dengan nomor 01/BAPPEBTI/PFAK/08/2024.Gambar: PLT Bappebti, Kasan dan Dimas, General Counsel PINTU."
3 Negara Ini Percepat Program Quantum Computing Usai Terobosan dari China,"Jumat, 02 Agustus 2024","Para ilmuwan di Amerika Serikat, Inggris, dan Uni Eropa kini mempercepat upaya mereka dalam mengembangkan teknologiquantum computing."
"Harga Saham Marathon Digital Turun pada Q2,  Imbas Bitcoin Halving","Jumat, 02 Agustus 2024","Marathon Digital, perusahaanminingBitcoin berbasis di Amerika Serikat, melaporkan pendapatan kuartal kedua 2024 yang tidak sesuai dengan ekspektasi Wall Street."
Pengadilan Montenegro Tetapkan Ekstradisi Do Kwon ke Korea Selatan,"Jumat, 02 Agustus 2024","Pengadilan Banding Montenegro telah menolak permintaan dari Amerika Serikat untuk mengekstradisi mantan CEO Terraform Labs, Do Kwon."
"Whale Kripto Terpantau Bersiap Sambut Reli Altcoin, Ini Indikasinya!","Jumat, 02 Agustus 2024","Whalekripto, istilah yang mengacu kepada investor kripto dengan nilai investasi besar terpantau mengakumulasi altcoin di tengah fluktuasi pasar kripto.Baca juga:The Fed Tahan Suku Bunga AS, Harga Bitcoin Turun ke US$64.000Kondisi Pasar dan Dampak FedSetelah pertemuan Fed AS pada hari Rabu, Bitcoin dan pasar kripto secara keseluruhan mengalami tekanan penjualan yang besar."
Notcoin Luncurkan Game Telegram Baru Bersama Lost Dogs dan Getgems,"Jumat, 02 Agustus 2024","Notcoin telah meluncurkangameTelegram baru hasil kolaborasi dengan proyek NFT di jaringan The Open Network (TON) yakni Lost Dogs dan Getgems.The new story beginshttps://t.co/8gCHpsimIh— Notcoin Ø (@thenotcoin)August 1, 2024Dilansir dariThe Blockpada Kamis (1/8/2024), gim Lost Dogs bertemakan anjing ini memungkinkan pemain untuk berpetualang, bergabung dengan komunitas atausquad, mengundang pemain baru, dan memberikan hak suara untuk tindakan anjing mereka untuk menemukan rumah baru.Karakter dalamgameini direpresentasikan oleh NFT Lost Dogs, yang diluncurkan pada Maret 2023 dimarketplaceNFT terbesar di jaringan TON, yakni Getgems."
Harga Bitcoin Alami Volatilitas Tinggi di Tengah Kondisi Ekonomi Makro Global,"Jumat, 02 Agustus 2024","Harga Bitcoin (BTC), aset kripto terbesar berdasarkan kapitalisasi pasar, tengah mengalami volatilitas tinggi di tengah kondisi ekonomi makro global yang tidak menentu.Harga BTC ertama kali mengalami penurunan tajam ketika harganya merosot dari level US$64.000 ke harga terendah di US$62.480 pada Kamis (1/8/2024) malam. Penurunan ini mengakibatkan kerugian besar bagi paratraderyang bertaruh bahwa Bitcoin akan pulih, dengan total US$337 juta atau setara Rp5,4 triliun dilikuidasi.Likuidasi terbanyak terjadi pada posisilongsebesar US$310,27 juta atau setara Rp5,04 triliun menurut dataCoinGlass."
Masa Depan Dogecoin dari Meme Coin ke Proyek Besar,"Jumat, 02 Agustus 2024",DOGE adalahmeme cointerkemuka di pasar kripto.
Donald Trump Luncurkan Sneakers Bertema Bitcoin,"Kamis, 01 Agustus 2024","Donald Trump, mantan Presiden Amerika Serikat, baru-baru ini memperkenalkan sneakers bertema Bitcoin setelah dirinya menghadiri Bitcoin 2024 Conference di Nashville.Dalam sebuah postingan diTruth Socialpada Rabu (31/7/2024), Trump mengumumkan bahwa koleksi sneakers ini dijual dalam jumlah terbatas, dengan setiap pasangnya memiliki nomor unik."
Platform Ini Bisa Bikin Meme Coin dari Cuitan di X (Twitter),"Kamis, 01 Agustus 2024","Melalui platform MakeNowMeme kini pembuatan meme coin menjadi sangat mudah, cukup mengunggah sebuat cuitan di X atau Twitter."
"CEO Perusahaan Kripto Dituntut SEC, Terlibat Penipuan Rp4,1 Triliun!","Kamis, 01 Agustus 2024","Nader Al-Naji, pendiri platform media sosial berbasis blockchain BitClout (sekarang Decentralized Social atau DeSo), sedang menghadapi tuduhan serius dari Komisi Sekuritas dan Bursa (SEC) dan Departemen Kehakiman AS (DOJ)."
Volume Trading USDC Sentuh Rp2.190 Triliun pada Juli 2024,"Kamis, 01 Agustus 2024","USDC, stablecoin yang diterbitkan oleh Circle, mengalami lonjakan signifikan dalam volume perdagangannya pada bulan Juli 2024, berkat regulasiMarkets in Crypto-Assets(MiCA) yang telah berlaku di negara-negara Uni Eropa.Menurut laporanCCDatapada Rabu (31/7/2024), volume perdagangantrading pairUSDC diexchangeterpusat (CEX) meningkat hingga 48,1%, mencapai US$135 miliar atau sekitar Rp2.190 triliun per 25 Juli 2024.Grafik volume perdagangan dan kapitalisasi pasar dari stablecoin USDC."
Grayscale Luncurkan ETF Bitcoin Spot Mini dengan Biaya Trading Terendah,"Kamis, 01 Agustus 2024","Grayscale secara resmi meluncurkan Grayscale Bitcoin Mini Trust (BTC) setelah menerima persetujuan dari Komisi Sekuritas dan Bursa AS (SEC).Produk tersebut menawarkan eksposur terhadap aset kripto Bitcoin dengan biaya sebesar 0,15%, jauh lebih murah dibandingkan produk Exchange-Traded Fund (ETF) Bitcoin spot lainnya.Menurutrilis persGrayscale, ETF BTC mini ini mulai diperdagangkan di bursa NYSE Arca pada 31 Juli 2024."
